
epoch=0, train_loss=0.00211617, eval_loss=0.93677405, evalOverTrain=442.67530445
epoch=1, train_loss=0.00018216, eval_loss=0.93767445, evalOverTrain=5147.59709375
epoch=2, train_loss=0.00027422, eval_loss=0.92806883, evalOverTrain=3384.37159210
epoch=3, train_loss=0.00021122, eval_loss=0.93266064, evalOverTrain=4415.63272005
epoch=4, train_loss=0.00019130, eval_loss=0.93181283, evalOverTrain=4870.89999957
epoch=5, train_loss=0.00013818, eval_loss=0.93926610, evalOverTrain=6797.47798976
epoch=6, train_loss=0.00014605, eval_loss=0.93504117, evalOverTrain=6402.19567602
epoch=7, train_loss=0.00012767, eval_loss=0.93945701, evalOverTrain=7358.36594895
epoch=8, train_loss=0.00008700, eval_loss=0.93250833, evalOverTrain=10718.82483826
epoch=9, train_loss=0.00013639, eval_loss=0.93529385, evalOverTrain=6857.61225053
epoch=10, train_loss=0.00024467, eval_loss=0.93582685, evalOverTrain=3824.78353703
epoch=11, train_loss=0.00010215, eval_loss=0.93608158, evalOverTrain=9164.23331469
epoch=12, train_loss=0.00009017, eval_loss=0.93531688, evalOverTrain=10373.14950110
epoch=13, train_loss=0.00006359, eval_loss=0.93547406, evalOverTrain=14710.27757386
epoch=14, train_loss=0.00008901, eval_loss=0.93292728, evalOverTrain=10480.87091753
epoch=15, train_loss=0.00005383, eval_loss=0.93441013, evalOverTrain=17358.41331373
epoch=16, train_loss=0.00009529, eval_loss=0.93328435, evalOverTrain=9794.58841038
epoch=17, train_loss=0.00018015, eval_loss=0.93954360, evalOverTrain=5215.41700295
epoch=18, train_loss=0.00008093, eval_loss=0.93563882, evalOverTrain=11560.63855993
epoch=19, train_loss=0.00011894, eval_loss=0.93422478, evalOverTrain=7854.41035609
